case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
cdf_fbcoco_february_2024_seed45,45,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_45
cdf_fbcoco_february_2024_seed46,46,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_46
cdf_fbcoco_february_2024_seed47,47,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_47
cdf_fbcoco_february_2024_seed48,48,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_48
cdf_fbcoco_february_2024_seed49,49,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_49
cdf_fbcoco_february_2024_seed50,50,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_50
cdf_fbcoco_february_2024_seed51,51,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_february_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_february_2024/seed_51
cdf_fbcoco_january_2024_seed42,42,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_january_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_january_2024/seed_42
cdf_fbcoco_january_2024_seed43,43,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_january_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_january_2024/seed_43
cdf_fbcoco_january_2024_seed44,44,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_january_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_january_2024/seed_44
cdf_fbcoco_january_2024_seed45,45,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_january_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_january_2024/seed_45
cdf_fbcoco_january_2024_seed46,46,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_january_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_january_2024/seed_46
cdf_fbcoco_january_2024_seed47,47,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco_january_2024.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round/workload/batch_20260422_200323_workload/cdf_fbcoco_january_2024/seed_47
