seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.099
42,ocs_eps_preset_dynamic_greedy,0.219
42,pure_ocs_pruned,0.417
42,ocs_eps_pruned,0.626
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.121
42,pure_ocs_3hop_preset,0.445
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.100
43,ocs_eps_preset_dynamic_greedy,0.221
43,pure_ocs_pruned,0.640
43,ocs_eps_pruned,0.572
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.159
43,pure_ocs_3hop_preset,0.441
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.100
44,ocs_eps_preset_dynamic_greedy,0.219
44,pure_ocs_pruned,0.723
44,ocs_eps_pruned,0.641
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.117
44,pure_ocs_3hop_preset,0.438
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.124
45,ocs_eps_preset_dynamic_greedy,0.300
45,pure_ocs_pruned,0.642
45,ocs_eps_pruned,0.562
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.120
45,pure_ocs_3hop_preset,0.457
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.124
46,ocs_eps_preset_dynamic_greedy,0.215
46,pure_ocs_pruned,0.429
46,ocs_eps_pruned,0.633
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.117
46,pure_ocs_3hop_preset,0.446
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.119
47,ocs_eps_preset_dynamic_greedy,0.294
47,pure_ocs_pruned,0.416
47,ocs_eps_pruned,0.612
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.138
47,pure_ocs_3hop_preset,0.440
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.098
48,ocs_eps_preset_dynamic_greedy,0.284
48,pure_ocs_pruned,0.430
48,ocs_eps_pruned,0.617
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.121
48,pure_ocs_3hop_preset,0.660
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.100
49,ocs_eps_preset_dynamic_greedy,0.219
49,pure_ocs_pruned,0.428
49,ocs_eps_pruned,0.371
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.141
49,pure_ocs_3hop_preset,0.447
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.126
50,ocs_eps_preset_dynamic_greedy,0.221
50,pure_ocs_pruned,0.732
50,ocs_eps_pruned,0.558
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.160
50,pure_ocs_3hop_preset,0.794
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.116
51,ocs_eps_preset_dynamic_greedy,0.218
51,pure_ocs_pruned,0.442
51,ocs_eps_pruned,0.633
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.137
51,pure_ocs_3hop_preset,0.795
