seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.911
42,pure_ocs_ksp,1.010
42,eps_ecmp,0.990
42,pure_ocs_ksp_greedy,0.999
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.978
42,ocs_eps_pruned,0.990
42,ocs_eps_large_small,1.066
42,ocs_eps_preset_greedy,0.987
42,pure_ocs_3hop_preset,0.978
43,ocs_eps_global_ksp,1.277
43,pure_ocs_ksp,1.080
43,eps_ecmp,0.975
43,pure_ocs_ksp_greedy,1.066
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.055
43,ocs_eps_pruned,1.051
43,ocs_eps_large_small,1.647
43,ocs_eps_preset_greedy,1.060
43,pure_ocs_3hop_preset,1.055
44,ocs_eps_global_ksp,1.667
44,pure_ocs_ksp,1.066
44,eps_ecmp,0.924
44,pure_ocs_ksp_greedy,1.017
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.023
44,ocs_eps_pruned,0.964
44,ocs_eps_large_small,1.797
44,ocs_eps_preset_greedy,1.028
44,pure_ocs_3hop_preset,1.023
45,ocs_eps_global_ksp,1.339
45,pure_ocs_ksp,1.057
45,eps_ecmp,0.982
45,pure_ocs_ksp_greedy,1.045
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,0.997
45,ocs_eps_pruned,1.012
45,ocs_eps_large_small,1.351
45,ocs_eps_preset_greedy,1.052
45,pure_ocs_3hop_preset,0.997
46,ocs_eps_global_ksp,1.455
46,pure_ocs_ksp,1.050
46,eps_ecmp,1.017
46,pure_ocs_ksp_greedy,1.062
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.032
46,ocs_eps_pruned,1.037
46,ocs_eps_large_small,1.227
46,ocs_eps_preset_greedy,1.051
46,pure_ocs_3hop_preset,1.032
47,ocs_eps_global_ksp,1.345
47,pure_ocs_ksp,1.087
47,eps_ecmp,0.959
47,pure_ocs_ksp_greedy,1.057
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.013
47,ocs_eps_pruned,1.003
47,ocs_eps_large_small,1.300
47,ocs_eps_preset_greedy,1.033
47,pure_ocs_3hop_preset,1.013
48,ocs_eps_global_ksp,1.319
48,pure_ocs_ksp,1.071
48,eps_ecmp,1.019
48,pure_ocs_ksp_greedy,1.061
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.045
48,ocs_eps_pruned,1.023
48,ocs_eps_large_small,1.260
48,ocs_eps_preset_greedy,1.031
48,pure_ocs_3hop_preset,1.045
49,ocs_eps_global_ksp,1.218
49,pure_ocs_ksp,1.057
49,eps_ecmp,0.988
49,pure_ocs_ksp_greedy,0.977
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,0.988
49,ocs_eps_pruned,1.012
49,ocs_eps_large_small,1.036
49,ocs_eps_preset_greedy,1.007
49,pure_ocs_3hop_preset,0.988
50,ocs_eps_global_ksp,1.392
50,pure_ocs_ksp,1.030
50,eps_ecmp,0.929
50,pure_ocs_ksp_greedy,1.003
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.056
50,ocs_eps_pruned,1.000
50,ocs_eps_large_small,1.558
50,ocs_eps_preset_greedy,1.034
50,pure_ocs_3hop_preset,1.056
51,ocs_eps_global_ksp,1.511
51,pure_ocs_ksp,1.020
51,eps_ecmp,0.955
51,pure_ocs_ksp_greedy,1.001
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.999
51,ocs_eps_pruned,0.981
51,ocs_eps_large_small,1.640
51,ocs_eps_preset_greedy,1.031
51,pure_ocs_3hop_preset,0.999
