case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
threshold_sweep,helios_t10,10,1.886,0.204
threshold_sweep,helios_t20,10,1.767,0.384
threshold_sweep,helios_t30,10,1.448,0.240
threshold_sweep,helios_t40,10,1.384,0.387
threshold_sweep,helios_t50,10,1.240,0.152
threshold_sweep,helios_t60,10,1.061,0.193
threshold_sweep,helios_t70,10,1.139,0.216
threshold_sweep,helios_t80,10,1.277,0.224
threshold_sweep,helios_t90,10,1.310,0.230
threshold_sweep,hyacinth_dynamic,10,1.000,0.000
threshold_sweep,hyacinth_preset_t10,10,1.659,0.273
threshold_sweep,hyacinth_preset_t20,10,1.430,0.293
threshold_sweep,hyacinth_preset_t30,10,1.264,0.181
threshold_sweep,hyacinth_preset_t40,10,1.110,0.169
threshold_sweep,hyacinth_preset_t50,10,1.060,0.164
threshold_sweep,hyacinth_preset_t60,10,1.129,0.286
threshold_sweep,hyacinth_preset_t70,10,1.046,0.188
threshold_sweep,hyacinth_preset_t80,10,1.209,0.189
threshold_sweep,hyacinth_preset_t90,10,1.232,0.184
