seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.104
42,ocs_eps_preset_dynamic_greedy,0.279
42,pure_ocs_pruned,0.757
42,ocs_eps_pruned,0.747
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.119
42,pure_ocs_3hop_preset,0.665
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.127
43,ocs_eps_preset_dynamic_greedy,0.303
43,pure_ocs_pruned,0.642
43,ocs_eps_pruned,0.778
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.153
43,pure_ocs_3hop_preset,0.445
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.129
44,ocs_eps_preset_dynamic_greedy,0.221
44,pure_ocs_pruned,0.702
44,ocs_eps_pruned,0.680
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.141
44,pure_ocs_3hop_preset,0.784
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.127
45,ocs_eps_preset_dynamic_greedy,0.277
45,pure_ocs_pruned,0.659
45,ocs_eps_pruned,0.496
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.120
45,pure_ocs_3hop_preset,0.451
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.123
46,ocs_eps_preset_dynamic_greedy,0.295
46,pure_ocs_pruned,0.438
46,ocs_eps_pruned,0.764
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.151
46,pure_ocs_3hop_preset,0.776
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.099
47,ocs_eps_preset_dynamic_greedy,0.215
47,pure_ocs_pruned,0.633
47,ocs_eps_pruned,0.656
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.121
47,pure_ocs_3hop_preset,0.444
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.103
48,ocs_eps_preset_dynamic_greedy,0.221
48,pure_ocs_pruned,0.774
48,ocs_eps_pruned,0.548
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.151
48,pure_ocs_3hop_preset,0.783
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.126
49,ocs_eps_preset_dynamic_greedy,0.313
49,pure_ocs_pruned,0.760
49,ocs_eps_pruned,0.585
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.123
49,pure_ocs_3hop_preset,0.466
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.127
50,ocs_eps_preset_dynamic_greedy,0.222
50,pure_ocs_pruned,0.747
50,ocs_eps_pruned,0.488
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.150
50,pure_ocs_3hop_preset,0.454
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.127
51,ocs_eps_preset_dynamic_greedy,0.219
51,pure_ocs_pruned,0.728
51,ocs_eps_pruned,0.465
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.141
51,pure_ocs_3hop_preset,0.687
