seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.098
42,ocs_eps_preset_dynamic_greedy,0.208
42,pure_ocs_pruned,0.654
42,ocs_eps_pruned,0.610
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.117
42,pure_ocs_3hop_preset,0.669
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.099
43,ocs_eps_preset_dynamic_greedy,0.205
43,pure_ocs_pruned,0.426
43,ocs_eps_pruned,0.553
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.112
43,pure_ocs_3hop_preset,0.775
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.101
44,ocs_eps_preset_dynamic_greedy,0.199
44,pure_ocs_pruned,0.417
44,ocs_eps_pruned,0.642
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.111
44,pure_ocs_3hop_preset,0.434
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.125
45,ocs_eps_preset_dynamic_greedy,0.204
45,pure_ocs_pruned,0.741
45,ocs_eps_pruned,0.363
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.114
45,pure_ocs_3hop_preset,0.450
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.097
46,ocs_eps_preset_dynamic_greedy,0.201
46,pure_ocs_pruned,0.427
46,ocs_eps_pruned,0.615
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.112
46,pure_ocs_3hop_preset,0.447
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.122
47,ocs_eps_preset_dynamic_greedy,0.201
47,pure_ocs_pruned,0.721
47,ocs_eps_pruned,0.548
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.109
47,pure_ocs_3hop_preset,0.448
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.125
48,ocs_eps_preset_dynamic_greedy,0.208
48,pure_ocs_pruned,0.652
48,ocs_eps_pruned,0.662
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.115
48,pure_ocs_3hop_preset,0.454
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.116
49,ocs_eps_preset_dynamic_greedy,0.205
49,pure_ocs_pruned,0.425
49,ocs_eps_pruned,0.549
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.114
49,pure_ocs_3hop_preset,0.762
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.100
50,ocs_eps_preset_dynamic_greedy,0.206
50,pure_ocs_pruned,0.432
50,ocs_eps_pruned,0.632
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.113
50,pure_ocs_3hop_preset,0.455
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.100
51,ocs_eps_preset_dynamic_greedy,0.205
51,pure_ocs_pruned,0.668
51,ocs_eps_pruned,0.562
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.113
51,pure_ocs_3hop_preset,0.455
