case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
"frag0p5_seed42","42","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_42"
"frag0p5_seed43","43","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_43"
"frag0p5_seed44","44","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_44"
"frag0p5_seed45","45","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_45"
"frag0p5_seed46","46","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_46"
"frag0p5_seed47","47","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_47"
"frag0p5_seed48","48","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_48"
"frag0p5_seed49","49","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_49"
"frag0p5_seed50","50","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_50"
"frag0p5_seed51","51","4L,3M,3S","0.5","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","failed","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p5/seed_51"
