seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.823
42,pure_ocs_ksp,1.299
42,eps_ecmp,0.676
42,pure_ocs_ksp_greedy,1.157
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.116
42,ocs_eps_pruned,0.866
42,ocs_eps_large_small,1.555
42,ocs_eps_preset_greedy,1.801
42,pure_ocs_3hop_preset,1.116
43,ocs_eps_global_ksp,1.648
43,pure_ocs_ksp,1.196
43,eps_ecmp,0.700
43,pure_ocs_ksp_greedy,1.382
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.482
43,ocs_eps_pruned,1.132
43,ocs_eps_large_small,1.374
43,ocs_eps_preset_greedy,1.972
43,pure_ocs_3hop_preset,1.482
44,ocs_eps_global_ksp,2.037
44,pure_ocs_ksp,1.175
44,eps_ecmp,0.627
44,pure_ocs_ksp_greedy,1.139
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.016
44,ocs_eps_pruned,1.057
44,ocs_eps_large_small,1.750
44,ocs_eps_preset_greedy,1.678
44,pure_ocs_3hop_preset,1.016
45,ocs_eps_global_ksp,2.081
45,pure_ocs_ksp,1.492
45,eps_ecmp,0.745
45,pure_ocs_ksp_greedy,1.170
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.161
45,ocs_eps_pruned,0.893
45,ocs_eps_large_small,1.299
45,ocs_eps_preset_greedy,1.862
45,pure_ocs_3hop_preset,1.161
46,ocs_eps_global_ksp,2.113
46,pure_ocs_ksp,1.598
46,eps_ecmp,0.751
46,pure_ocs_ksp_greedy,1.076
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.033
46,ocs_eps_pruned,1.443
46,ocs_eps_large_small,30.846
46,ocs_eps_preset_greedy,3.296
46,pure_ocs_3hop_preset,1.033
47,ocs_eps_global_ksp,3.444
47,pure_ocs_ksp,1.956
47,eps_ecmp,0.781
47,pure_ocs_ksp_greedy,1.073
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.071
47,ocs_eps_pruned,0.886
47,ocs_eps_large_small,1.113
47,ocs_eps_preset_greedy,2.549
47,pure_ocs_3hop_preset,1.071
48,ocs_eps_global_ksp,4.850
48,pure_ocs_ksp,1.166
48,eps_ecmp,0.587
48,pure_ocs_ksp_greedy,1.105
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.098
48,ocs_eps_pruned,0.891
48,ocs_eps_large_small,6.159
48,ocs_eps_preset_greedy,1.487
48,pure_ocs_3hop_preset,1.098
49,ocs_eps_global_ksp,1.493
49,pure_ocs_ksp,1.186
49,eps_ecmp,0.654
49,pure_ocs_ksp_greedy,1.093
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.057
49,ocs_eps_pruned,1.254
49,ocs_eps_large_small,1.319
49,ocs_eps_preset_greedy,1.992
49,pure_ocs_3hop_preset,1.057
50,ocs_eps_global_ksp,1.691
50,pure_ocs_ksp,1.336
50,eps_ecmp,0.573
50,pure_ocs_ksp_greedy,1.126
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.025
50,ocs_eps_pruned,0.895
50,ocs_eps_large_small,9.076
50,ocs_eps_preset_greedy,3.211
50,pure_ocs_3hop_preset,1.025
51,ocs_eps_global_ksp,1.883
51,pure_ocs_ksp,1.277
51,eps_ecmp,0.593
51,pure_ocs_ksp_greedy,1.196
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.119
51,ocs_eps_pruned,0.963
51,ocs_eps_large_small,1.968
51,ocs_eps_preset_greedy,12.119
51,pure_ocs_3hop_preset,1.119
