case_base,seed,scheduler,avg_relative_cct_vs_dynamic
frag0p1,42,ocs_eps_global_ksp,1.334
frag0p1,42,pure_ocs_ksp,0.927
frag0p1,42,eps_ecmp,1.066
frag0p1,42,ocs_eps_large_small,0.941
frag0p1,42,pure_ocs_ksp_greedy,0.937
frag0p1,42,ocs_eps_preset_greedy,0.956
frag0p1,42,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,42,pure_ocs_3hop_preset,0.889
frag0p1,42,pure_ocs_pruned,0.889
frag0p1,42,ocs_eps_pruned,0.789
frag0p1,43,ocs_eps_global_ksp,1.712
frag0p1,43,pure_ocs_ksp,0.972
frag0p1,43,eps_ecmp,1.062
frag0p1,43,ocs_eps_large_small,1.015
frag0p1,43,pure_ocs_ksp_greedy,1.057
frag0p1,43,ocs_eps_preset_greedy,1.055
frag0p1,43,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,43,pure_ocs_3hop_preset,1.341
frag0p1,43,pure_ocs_pruned,1.341
frag0p1,43,ocs_eps_pruned,1.179
frag0p1,44,ocs_eps_global_ksp,1.441
frag0p1,44,pure_ocs_ksp,1.422
frag0p1,44,eps_ecmp,1.189
frag0p1,44,ocs_eps_large_small,1.083
frag0p1,44,pure_ocs_ksp_greedy,0.992
frag0p1,44,ocs_eps_preset_greedy,1.001
frag0p1,44,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,44,pure_ocs_3hop_preset,1.000
frag0p1,44,pure_ocs_pruned,1.000
frag0p1,44,ocs_eps_pruned,1.195
frag0p1,45,ocs_eps_global_ksp,2.013
frag0p1,45,pure_ocs_ksp,1.285
frag0p1,45,eps_ecmp,1.007
frag0p1,45,ocs_eps_large_small,1.071
frag0p1,45,pure_ocs_ksp_greedy,1.039
frag0p1,45,ocs_eps_preset_greedy,0.918
frag0p1,45,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,45,pure_ocs_3hop_preset,1.015
frag0p1,45,pure_ocs_pruned,1.015
frag0p1,45,ocs_eps_pruned,1.074
frag0p1,46,ocs_eps_global_ksp,1.435
frag0p1,46,pure_ocs_ksp,0.799
frag0p1,46,eps_ecmp,0.851
frag0p1,46,ocs_eps_large_small,0.696
frag0p1,46,pure_ocs_ksp_greedy,0.821
