case_base,seed,scheduler,avg_relative_fct_vs_dynamic
cdf_fbcoco_march_2024,42,ocs_eps_global_ksp,1.228
cdf_fbcoco_march_2024,42,pure_ocs_ksp,1.009
cdf_fbcoco_march_2024,42,eps_ecmp,1.061
cdf_fbcoco_march_2024,42,ocs_eps_large_small,0.999
cdf_fbcoco_march_2024,42,pure_ocs_ksp_greedy,0.961
cdf_fbcoco_march_2024,42,ocs_eps_preset_greedy,0.964
cdf_fbcoco_march_2024,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,42,pure_ocs_3hop_preset,0.986
cdf_fbcoco_march_2024,42,pure_ocs_pruned,0.986
cdf_fbcoco_march_2024,42,ocs_eps_pruned,0.992
cdf_fbcoco_march_2024,43,ocs_eps_global_ksp,1.281
cdf_fbcoco_march_2024,43,pure_ocs_ksp,1.087
cdf_fbcoco_march_2024,43,eps_ecmp,1.098
cdf_fbcoco_march_2024,43,ocs_eps_large_small,0.933
cdf_fbcoco_march_2024,43,pure_ocs_ksp_greedy,1.050
cdf_fbcoco_march_2024,43,ocs_eps_preset_greedy,1.019
cdf_fbcoco_march_2024,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,43,pure_ocs_3hop_preset,0.970
cdf_fbcoco_march_2024,43,pure_ocs_pruned,0.970
cdf_fbcoco_march_2024,43,ocs_eps_pruned,1.032
cdf_fbcoco_march_2024,44,ocs_eps_global_ksp,1.322
cdf_fbcoco_march_2024,44,pure_ocs_ksp,1.075
cdf_fbcoco_march_2024,44,eps_ecmp,1.016
cdf_fbcoco_march_2024,44,ocs_eps_large_small,1.871
cdf_fbcoco_march_2024,44,pure_ocs_ksp_greedy,1.003
cdf_fbcoco_march_2024,44,ocs_eps_preset_greedy,0.957
cdf_fbcoco_march_2024,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,44,pure_ocs_3hop_preset,0.984
cdf_fbcoco_march_2024,44,pure_ocs_pruned,0.984
cdf_fbcoco_march_2024,44,ocs_eps_pruned,0.961
cdf_fbcoco_march_2024,45,ocs_eps_global_ksp,1.306
cdf_fbcoco_march_2024,45,pure_ocs_ksp,1.029
cdf_fbcoco_march_2024,45,eps_ecmp,1.083
cdf_fbcoco_march_2024,45,ocs_eps_large_small,1.040
cdf_fbcoco_march_2024,45,pure_ocs_ksp_greedy,0.983
cdf_fbcoco_march_2024,45,ocs_eps_preset_greedy,0.985
cdf_fbcoco_march_2024,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,45,pure_ocs_3hop_preset,0.998
cdf_fbcoco_march_2024,45,pure_ocs_pruned,0.998
cdf_fbcoco_march_2024,45,ocs_eps_pruned,0.983
cdf_fbcoco_march_2024,46,ocs_eps_global_ksp,1.441
cdf_fbcoco_march_2024,46,pure_ocs_ksp,1.068
cdf_fbcoco_march_2024,46,eps_ecmp,1.100
cdf_fbcoco_march_2024,46,ocs_eps_large_small,1.167
cdf_fbcoco_march_2024,46,pure_ocs_ksp_greedy,1.029
cdf_fbcoco_march_2024,46,ocs_eps_preset_greedy,0.991
cdf_fbcoco_march_2024,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,46,pure_ocs_3hop_preset,1.026
cdf_fbcoco_march_2024,46,pure_ocs_pruned,1.026
cdf_fbcoco_march_2024,46,ocs_eps_pruned,1.016
cdf_fbcoco_march_2024,47,ocs_eps_global_ksp,1.422
cdf_fbcoco_march_2024,47,pure_ocs_ksp,1.115
cdf_fbcoco_march_2024,47,eps_ecmp,1.237
cdf_fbcoco_march_2024,47,ocs_eps_large_small,1.342
cdf_fbcoco_march_2024,47,pure_ocs_ksp_greedy,1.039
cdf_fbcoco_march_2024,47,ocs_eps_preset_greedy,1.043
cdf_fbcoco_march_2024,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,47,pure_ocs_3hop_preset,1.123
cdf_fbcoco_march_2024,47,pure_ocs_pruned,1.123
